gameDate,team,player,status,reason,page
02/08/2026,Miami Heat,"Adebayo, Bam",Available,Injury/Illness - Right Hip; Tightness,1
02/08/2026,Miami Heat,"Goldin, Vladislav",Out,G League - Two-Way,1
02/08/2026,Miami Heat,"Herro, Tyler",Out,Injury/Illness - Right Costochondral Injury to the Ribs,1
02/08/2026,Miami Heat,"Jakucionis, Kasparas",Available,Injury/Illness - Left Ankle Inflammation,1
02/08/2026,Miami Heat,"Jaquez Jr., Jaime",Available,Injury/Illness - Left Knee; Sprain,1
02/08/2026,Miami Heat,"Johnson, Keshad",Out,G League - On Assignment,1
02/08/2026,Miami Heat,"Jovic, Nikola",Available,Injury/Illness - Right Hip Impingement,1
02/08/2026,Miami Heat,"Larsson, Pelle",Out,Injury/Illness - Right Elbow Contusion,1
02/08/2026,Miami Heat,"Powell, Norman",Available,Injury/Illness - Right Hand; Sprain,1
02/08/2026,Miami Heat,"Rozier, Terry",Out,Not With Team,1
02/08/2026,Miami Heat,"Smith, Dru",Available,Injury/Illness - Left Ankle; Soreness,1
02/08/2026,Miami Heat,"Wiggins, Andrew",Available,Injury/Illness - Left Hamstring Tightness,1
02/08/2026,Washington Wizards,"Coulibaly, Bilal",Available,Injury/Illness - Lower Back; Soreness,1
02/08/2026,Washington Wizards,"Davis, Anthony",Out,Injury/Illness - Left Finger; Sprain,1
02/08/2026,Washington Wizards,"Exum, Dante",Out,Not With Team,2
02/08/2026,Washington Wizards,"George, Kyshawn",Available,Injury/Illness - Right Knee; Contusion,2
02/08/2026,Washington Wizards,"Gill, Anthony",Out,Injury/Illness - Right Hand; Contusion,2
02/08/2026,Washington Wizards,"Hardy, Jaden",Out,Rest - Rest,2
02/08/2026,Washington Wizards,"Johnson, Tre",Out,Injury/Illness - Left Ankle; Sprain,2
02/08/2026,Washington Wizards,"Russell, D'Angelo",Out,Not With Team,2
02/08/2026,Washington Wizards,"Sarr, Alex",Available,Injury/Illness - Right Ankle; Soreness,2
02/08/2026,Washington Wizards,"Vukcevic, Tristan",Available,Injury/Illness - Right Knee; Soreness,2
02/08/2026,Washington Wizards,"Whitmore, Cam",Out,Injury/Illness - Right Shoulder; Deep Vein Thrombosis,2
02/08/2026,Washington Wizards,"Young, Trae",Out,Injury/Illness - Right Knee; MCL Sprain; Quad Contusion,2
02/08/2026,Indiana Pacers,"Brown, Kobe",Out,Not With Team,2
02/08/2026,Indiana Pacers,"Haliburton, Tyrese",Out,Injury/Illness - Right Achilles Tendon Tear,2
02/08/2026,Indiana Pacers,"Jackson, Quenton",Out,G League - Two-Way,2
02/08/2026,Indiana Pacers,"Nesmith, Aaron",Available,Injury/Illness - Left Elbow; Sprain,2
02/08/2026,Indiana Pacers,"Peter, Taelon",Out,G League - Two-Way,2
02/08/2026,Indiana Pacers,"Potter, Micah",Available,Injury/Illness - Left Hip; Contusion,2
02/08/2026,Indiana Pacers,"Thompson, Ethan",Out,G League - Two-Way,2
02/08/2026,Indiana Pacers,"Toppin, Obi",Out,Injury/Illness - Right Foot; Stress,2
02/08/2026,Indiana Pacers,"Zubac, Ivica",Out,Not With Team,3
02/08/2026,Toronto Raptors,"Hepburn, Chucky",Out,G League - Two-Way,3
02/08/2026,Toronto Raptors,"Paul, Chris",Out,Not With Team Return to Competition,3
02/08/2026,Toronto Raptors,"Poeltl, Jakob",Out,Reconditioning,3
02/08/2026,Toronto Raptors,"Quickley, Immanuel",Available,Injury/Illness - Right Ankle; Sprain,3
02/08/2026,LA Clippers,"Beal, Bradley",Out,Injury/Illness - Left Hip; Fracture,3
02/08/2026,LA Clippers,"Garland, Darius",Out,Injury/Illness - Right Toe; Sprain,3
02/08/2026,LA Clippers,"Jackson, Isaiah",Out,Trade Pending,3
02/08/2026,LA Clippers,"Mathurin, Bennedict",Out,Trade Pending,3
02/08/2026,Minnesota Timberwolves,"Juzang, Johnny",Out,G League - Two-Way,3
02/08/2026,Minnesota Timberwolves,"Phillips, Julian",Available,Injury/Illness - Right Wrist; Sprain,3
02/08/2026,Minnesota Timberwolves,"Shannon Jr., Terrence",Out,Injury/Illness - Left Foot; Abductor Hallucis Strain,3
02/08/2026,Minnesota Timberwolves,"Zikarsky, Rocco",Out,G League - Two-Way,3
02/08/2026,New York Knicks,"Anunoby, OG",Out,Injury/Illness - Right Toe; Soreness,3
02/08/2026,New York Knicks,"Hart, Josh",Available,Injury/Illness - Right Ankle; Soreness,3
02/08/2026,New York Knicks,"Jones, Dillon",Out,G League - Two-Way,3
02/08/2026,New York Knicks,"McBride, Miles",Out,Injury/Illness - Pelvic; Core Muscle Surgery,3
02/08/2026,New York Knicks,"Towns, Karl-Anthony",Available,Injury/Illness - Right Eye; Laceration,4
02/08/2026,Boston Celtics,"Hauser, Sam",Out,Injury/Illness - Low Back; Spasms,4
02/08/2026,Boston Celtics,"Shulga, Max",Out,G League - Two-Way,4
02/08/2026,Boston Celtics,"Tatum, Jayson",Out,Injury/Illness - Right Achilles; Repair,4
02/08/2026,Detroit Pistons,"Duren, Jalen",Probable,Injury/Illness - Right Knee; Soreness,4
02/08/2026,Detroit Pistons,"Holland II, Ronald",Out,Personal Reasons,4
02/08/2026,Detroit Pistons,"Klintman, Bobi",Out,G League - On Assignment,4
02/08/2026,Detroit Pistons,"Lanier, Chaz",Out,G League - On Assignment,4
02/08/2026,Detroit Pistons,"Moore Jr., Wendell",Out,G League - Two-Way,4
02/08/2026,Detroit Pistons,"Saric, Dario",Out,Not With Team,4
02/08/2026,Detroit Pistons,"Smith, Tolu",Out,G League - Two-Way,4
02/08/2026,Charlotte Hornets,"Branham, Malaki",Out,Not With Team,4
02/08/2026,Charlotte Hornets,"Hall, PJ",Out,G League - Two-Way,4
02/08/2026,Charlotte Hornets,"McNeeley, Liam",Out,G League - On Assignment,4
02/08/2026,Charlotte Hornets,"Reeves, Antonio",Out,G League - Two-Way,4
02/08/2026,Charlotte Hornets,"White, Coby",Out,Injury/Illness - Left Calf; Strain,4
02/08/2026,Chicago Bulls,"Collins, Zach",Out,Injury/Illness - Right 1st Toe; Sprain,4
02/08/2026,Chicago Bulls,"Essengue, Noa",Out,Injury/Illness - Left Shoulder; Surgery,4
02/08/2026,Chicago Bulls,"Giddey, Josh",Doubtful,Injury/Illness - Left Hamstring; Strain,4
02/08/2026,Chicago Bulls,"Jones, Tre",Doubtful,Injury/Illness - Left Hamstring; Strain,4
02/08/2026,Chicago Bulls,"Kawamura, Yuki",Out,G League - Two-Way,5
02/08/2026,Chicago Bulls,"McClung, Mac",Out,G League - Two-Way,5
02/08/2026,Chicago Bulls,"Smith, Jalen",Questionable,Injury/Illness - Right Calf; Strain,5
02/08/2026,Brooklyn Nets,"Demin, Egor",Out,Rest,5
02/08/2026,Brooklyn Nets,"Etienne, Tyson",Out,G League - Two-Way,5
02/08/2026,Brooklyn Nets,"Johnson, Chaney",Out,G League - Two-Way,5
02/08/2026,Brooklyn Nets,"Liddell, E.J.",Out,G League - Two-Way,5
02/08/2026,Brooklyn Nets,"Porter Jr., Michael",Out,Injury/Illness - Right Knee; Tendinitis,5
02/08/2026,Milwaukee Bucks,"Antetokounmpo, Alex",Out,G League - Two-Way,5
02/08/2026,Milwaukee Bucks,"Antetokounmpo, Giannis",Out,Injury/Illness - Right Calf; Strain,5
02/08/2026,Milwaukee Bucks,"Prince, Taurean",Out,Injury/Illness - Neck; Surgery,5
02/08/2026,Orlando Magic,"Castleton, Colin",Out,G League - Two-Way,5
02/08/2026,Orlando Magic,"Wagner, Franz",Questionable,Injury/Illness - Left High Ankle; Sprain management,5
02/08/2026,Utah Jazz,"George, Keyonte",Out,Injury/Illness - Right Ankle; Sprain,5
02/08/2026,Utah Jazz,"Kessler, Walker",Out,Injury/Illness - Left Shoulder; Injury Recovery,5
02/08/2026,Atlanta Hawks,"Daniels, Dyson",Questionable,Inflammation,5
